MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000245,Northolt South,42.98675821,11.2,23.8,40.7,20.2,1.4,37.22717622,0.15592563
E02000246,Kingshill Avenue,39.59762231,18.3,29.4,33.1,16.9,1.8,58.10763889,0.121601434
E02000247,Greenford West,47.27396197,17.4,30.4,24.3,23.5,2.8,51.41762452,0.130849478
E02000248,Hanger Hill East,59.85819471,25.6,22.2,3.6,44,3.2,76.76040495,0.132473623
E02000249,Greenford South,51.1203212,26.1,27.5,16,25.6,3.5,29.56078707,0.149768216
E02000250,Pitshanger,33.22028673,36.6,36,4.1,21.3,1.8,41.84752365,0.143351064
E02000251,Greenford Ravenor Park,55.40030211,31,39.1,5,22.6,2.6,50.20543807,0.106511012
E02000252,North Acton,54.99690913,15.7,17.1,23.9,35.8,3.5,41.54107924,0.120304272
E02000253,Cuckoo Park,43.43853821,16.8,25.5,41.2,13.9,2,75.26466381,0.138186657
E02000254,Southall North,56.02860655,32.8,36.1,8.3,20.8,3.1,44.806022,0.12483846
E02000255,Drayton Green & Cleveland,40.32752245,26,29.6,20.2,22.4,2.5,58.05164319,0.15258121
E02000256,Ealing Broadway West,43.44882067,24,23,9.2,40.2,3.7,62.3747495,0.197108434
E02000257,Ealing Broadway East,49.35968614,22.2,19.5,11,45.3,3.8,77.76955603,0.148294142
E02000258,Acton Noel Road & Lynton Road,49.52451709,20.6,24.5,16.2,36.4,3.6,36.50187735,0.084776273
E02000259,Brent Valley,39.26067559,27.8,36.3,8.8,25.6,2.2,80.07785467,0.151344928
E02000260,Southall Park,60.57405281,30.1,26.8,16,24,7.1,80.54755043,0.149672033
E02000261,East Acton,53.00947427,18.1,19.8,23.6,30.8,4.2,58.96061975,0.163363626
E02000262,Acton Central,48.16806723,13.7,23.4,25,35.2,3.5,81.06751825,0.124817107
E02000263,Southall West,64.04571625,30,26.9,15.1,24,6.2,67.04264099,0.129257284
E02000264,Ealing Common & Twyford Ave,48.25373319,24.4,24,10.1,39,4.2,68.05421104,0.118349929
E02000265,West Ealing,44.02374314,14.6,26.3,26.4,28.6,3.1,46.82316119,0.138536096
E02000266,Norwood Green North & Windmill Park,49.24985808,15.4,17.8,46.6,14.4,2.9,86.7679558,0.155789027
E02000267,Hanwell,38.391568,20.7,35.3,11.5,28.9,3.5,92.72030651,0.101983471
E02000268,St Mary's,38.15986322,23.2,28.6,16.8,29,2.4,124.427157,0.112765716
E02000269,Northfields,34.2163902,28.5,35,5.2,29.5,2.9,97.57894737,0.133847813
E02000270,South Acton,50.91383812,9.5,15.1,49,21.1,2.5,58.81697982,0.146355892
E02000271,Bedford Park,35.51678249,30.3,33.1,5.9,28.7,4,104.3589744,0.118030618
E02000272,Elthorne Park,34.49911085,36.4,37.6,5.6,18.8,2,29.79576008,0.113926247
E02000274,Southall Green,63.32364722,24,27.7,13.7,31,6.2,95.78249337,0.116172805
E02000275,Norwood Green South,56.16727682,24.4,26.7,21.4,24.6,4.7,67.21719457,0.150117805
E02000276,South Ealing,39.19964296,22.1,36,10.7,29.6,3.2,88.42937853,0.131740353
E02006791,Chiswick North West,36.98405603,21.1,30,13.6,33.7,4.6,94.63626493,0.161886186
E02000277,Bullsmoor & Freezywater,28.42818811,29.2,37.9,11.4,18.7,2.2,98.55527638,0.106182282
E02000278,Turkey Street,31.5152201,20.7,25.8,33.5,16.9,1.9,92.13903743,0.135374347
E02000279,Enfield Lock,35.29047113,13.8,33.1,24.1,25.9,1.4,53.66138449,0.170811315
E02000280,Chase & Crews Hill,17.8156195,28.9,36.5,19.8,12.1,2.3,98.89198606,0.102177436
E02000281,Carterhatch & Forty Hall,25.21788342,20.7,35.1,20.2,21.8,1.3,64.60358056,0.15874901
E02000282,Enfield Wash,36.05046626,13.7,25.2,34.6,24.1,2.1,76.95600476,0.117583436
E02000283,Brimsdown Avenue,31.98005698,25,37.7,17.4,17.9,1.7,99.08029197,0.123471342
E02000284,Chase Side,18.08536585,29.3,37.9,10.4,20.1,3.8,73.25692455,0.126857888
E02000285,Enfield Town North,16.40139457,43.6,42.6,3.5,8.7,2.2,74.19771863,0.109869837
E02000286,Chase Farm & The Ridgeway,20.50747732,35.9,34.2,4.6,24,3.6,50.08435583,0.07709386
E02000287,Cockfosters & Hadley Wood,28.06683277,41.5,32.8,9.7,14.2,2.9,5.465467395,0.172916422
E02000288,Southbury East,40.81029552,20.3,30,21.3,24.4,2,48.58271865,0.12319705
E02000289,World's End,23.39777744,46.2,38.9,6.4,7,2.2,78.96988906,0.089203291
E02000290,Brimsdown & Ponders End,41.82546258,12.8,20.8,39.4,24.7,1.3,77.59859772,0.11113621
E02000291,Enfield Town South & Bush Hill Park,27.68937696,25.1,30.1,15.8,27.7,3.7,67.38893219,0.15116817
E02000292,Southbury West,27.64236184,30,42.3,8.2,18.4,2,65.20812183,0.187762728
E02000293,Grange Park,20.18392263,46.3,37.5,2.7,12.1,2,41.50170648,0.214638158
E02000294,Ponders End South,41.60378421,26.6,34,17.2,19.9,2,8.115696888,0.221203279
E02000295,Oakwood Park & Highlands,30.28421304,34,34.1,9.4,20,2.3,53.89413989,0.099789548
E02000296,Southgate,37.05296277,27.7,25,11.3,33.9,3,19.25610115,0.220949763
E02000297,Bury Street West & Village Road,25.22047752,43,42.3,2.1,11.4,2.2,13.95372645,0.093763756
E02000298,Winchmore Hill,23.68355065,38.4,39.2,3.9,17.2,2,88.87640449,0.143732374
E02000299,Lower Edmonton North,46.14475945,22.1,28.2,18.5,27.5,1.3,52.29909526,0.121501984
E02000300,Haslebury North,45.60500184,23,31.5,12.1,31.1,2.4,29.87957388,0.222291118
E02000301,Lower Edmonton South,45.4816286,15.4,22.7,33.6,25.2,1.3,63.31112592,0.126381143
E02000302,Palmers Green East,36.66826808,32.9,35.7,12.8,16.6,1.2,55.22839506,0.165195037
E02000303,Haslebury South,42.33611442,14,24.5,34.2,25,1.9,58.64039956,0.150657708
E02000304,Southgate Green,30.06552108,40.4,37.5,2.7,17.6,1.5,59.17283951,0.201961193
E02000305,Palmers Green West,34.58820804,25.8,36.1,4.8,31.5,2.9,40.3,0.18573201
E02000306,Edmonton Green,47.53524975,6.9,14,55.1,18.6,1,115.8722919,0.10066916
E02000307,Tatem Park,46.10554036,30,36.5,8.6,22.7,1.3,116.6666667,0.105239934
E02000308,New Southgate & Arnos Grove,43.31695967,27.7,26.5,18.8,25.4,1.5,59.82995063,0.099294031
E02000309,Upper Edmonton East & Meridian Water,49.20392792,17,27.7,22.4,29.5,1.8,54.12658228,0.157507016
E02000311,Bowes,47.68030794,27.2,31.3,16.3,23.1,1.4,73.90499195,0.102189781
E02000312,Broomfield Park,44.34259524,25.1,27.9,8,36.5,2.2,46.93782684,0.197202278
E02006793,Upper Edmonton West,48.65289627,11.1,19.4,43.7,23.5,1.4,154.3659942,0.165873238
E02000313,Thamesmead Birchmere Park,36.85653366,6.5,16.2,63,12.2,1,93.29864724,0.134619674
E02000314,West Thamesmead,44.2950471,6.2,32.4,23.4,33,1.2,44.26449449,0.097964927
E02000315,Abbey Wood North,32.79735683,14.4,23.2,46.6,14.2,1.4,91.13924051,0.130257937
E02000316,"Woolwich Dockyard, Arsenal & Charlton Riverside",41.75813953,4.1,14.4,40.7,33,2.6,74.28945074,0.127215116
E02000317,Woolwich West,36.43966547,6.9,12.9,64.5,13.2,2.6,76.18170657,0.07735697
E02000318,Plumstead High Street,50.20321073,15,28.5,25.7,29,2.6,76.66196189,0.131547455
E02000319,Plumstead Common & Riverside,44.74523744,11.7,23.7,31.3,29.5,2.2,89.8778626,0.118906064
E02000320,Abbey Wood South,30.87258454,19.7,34,28.4,16.6,1.5,102.8456105,0.081436421
E02000321,Woolwich Glyndon,38.44444444,8.1,15.5,55,18.1,1.8,102.1887825,0.076840696
E02000323,Woolwich South,45.75604272,8.5,15.5,49.4,22.8,4.9,50.40451552,0.038882668
E02000324,Charlton Village,32.79562543,11.4,21,52.8,13.3,1.9,80.88013412,0.095761219
E02000326,Charlton Slopes,29.15134371,18.7,31.9,29.9,18.3,2.6,80.30254777,0.055985194
E02000327,Woolwich Common,35.58974359,4.3,14.1,51.2,28,5.2,125.0535988,0.086333578
E02000328,Westcombe Park & Maze Hill,24.34150772,19.9,26.9,29,21.4,5.4,95.20361991,0.105988593
E02000329,Plumstead South,23.18770227,22.8,38.3,23.1,14,2.6,126.3606911,0.074352619
E02000331,Hornfair Park,28.85966032,14.3,29,35.3,19.5,2.8,50.20547945,0.099181446
E02000332,Shooters Hill,24.36233283,28,39,16.7,14.7,3.4,123.8424437,0.091782422
E02000333,Blackheath Standard & Village,21.64619557,24.8,28.4,15.6,29.6,4.1,148.7007874,0.078104316
E02000334,Kidbrooke North,25.50626063,22.7,35.9,28,11.5,2.1,60.84355828,0.116208722
E02000335,Eltham North,13.57459154,33.4,44.1,14.3,7.3,1.5,102.1506849,0.104063296
E02000337,Eltham West,18.98558057,15.4,30.9,42.5,8.8,1.1,38.3485745,0.056389395
E02000339,Eltham Park,14.30485762,32.3,36.3,19.9,9.5,2.7,78.42465753,0.157641921
E02000340,Eltham South,18.11760841,34.8,32.3,14.7,16.1,3.5,36.4415437,0.137050304
E02000341,Middlepark & Horn Park,20.43472602,14.5,25.5,51.1,7.7,1.6,84.31451613,0.106408417
E02000342,Avery Hill,16.98434837,21.4,29.5,31.9,13.8,2.4,37.75520317,0.139519622
E02000343,Mottingham East,16.23970037,24.4,31.2,34.6,8.4,1.1,51.41950833,0.165638495
E02000344,New Eltham,15.03053077,33.4,42.8,11.4,11.3,1,47.75613276,0.134159239
E02006786,Wickham Lane & Winns Common,29.47490572,20.5,31.8,29.4,16.1,2.8,96.76779463,0.07452068
E02006927,Kidbrooke South,25.94107035,27.5,30.1,27.9,12.6,3.2,76.3433908,0.140114802
E02006928,Greenwich & Deptford Creekside,40.44408119,4.6,16.6,41.9,31.6,3.8,243.2589286,0.146907689
E02006929,Greenwich Peninsula,36.55540721,8.7,21.3,39.3,27.9,4,286.4285714,0.115864186
E02006930,Greenwich East,29.01996647,16,28.8,20.6,32.5,2.9,141.5926493,0.1507679
E02006931,Greenwich Town & Park,30.21989985,14.7,25,31.3,26.8,3.5,262.9100529,0.151640169
E02000345,Stamford Hill North,35.63023308,14.4,13.4,23.6,43.1,3.3,52.79752705,0.172716628
E02000346,Woodberry Down & Manor House,51.34602758,4.5,6.8,67.2,18.5,11.1,59.12017167,0.1353902
E02000347,Stamford Hill West,31.48567119,12,15.3,37.3,33.8,4.3,50.17501989,0.191691771
E02000348,Stamford Hill South,39.408867,8.8,10.9,47.3,30.3,1.5,20.41960184,0.201589921
E02000350,Stoke Newington East & Cazenove,34.74005473,12.6,19.9,24.1,40.1,3.1,45.859375,0.119980531
E02000351,Brownswood,39.97418749,10.2,19.1,23.7,43.5,3.3,45.61351947,0.125161082
E02000352,Clissold North,30.30655238,10.8,20.7,39.7,24.5,1.7,55.01988862,0.159051475
E02000353,Stoke Newington North,32.39147187,15.6,25.8,21.7,35.6,2.5,50.67337461,0.18267909
E02000354,Hackney Downs,41.21237634,6,15.4,47.1,27.7,3.9,59.95980707,0.109666175
E02000355,Lower Clapton,39.29286977,17,21.3,25,34,2.7,41.499405,0.149875741
E02000356,Clissold South,30.66975225,14.3,26,27.4,29.7,3.7,224.7962963,0.03789439
E02000357,Hackney Marshes,46.97901877,4.3,9.7,71.4,12.6,1.3,51.05490196,0.059605192
E02000358,Stoke Newington South,40.50461205,9,17.9,39.6,30.6,2.1,105.1497696,0.078996384
E02000359,Homerton North,38.45920073,15.6,24.5,33.1,24.1,2,49.1775326,0.117071181
E02000360,Amhurst Road & Pembury Estate,43.74778604,4.1,11.1,60.6,20.8,2,158.1535948,0.076970761
E02000361,Hackney Central,39.7513089,6.6,13.7,39.6,37.8,2.9,140.2572899,0.089397089
E02000362,Hackney Wick,35.67499607,6.9,15.9,44.9,24.9,1.9,129.1253644,0.084330549
E02000363,Homerton South,42.27754726,4.3,10.1,67.6,13.9,1.6,161.9141324,0.071373329
E02000364,Dalston East,32.15292658,11.7,19.3,38.9,27,1.9,177.3368607,0.065141721
E02000365,Dalston Kingsland & De Beauvoir,38.69476653,9.5,16.3,33.4,37.7,2.5,188.3938815,0.066274231
E02000366,South Hackney,30.20906742,7.7,14.8,57.4,16.9,1.8,94.78374836,0.102599558
E02000367,London Fields & Mare Street,35.8587414,6.8,17.9,38.5,31.2,1.7,146.3506261,0.095098399
E02000368,Haggerston East,41.21073435,5.2,13.3,62.1,17.4,1.3,134.4388398,0.082919051
E02000369,Haggerston West & Kingsland Basin,43.143005,4.8,10,53.2,24.3,1.3,141.1585366,0.095896328
E02000370,Hoxton & Wenlock,43.97060595,6.2,11.4,55.1,22,1.4,183.8957816,0.075698286
E02000371,Shoreditch,46.91567629,5,11.2,39.7,41.1,2.2,43.02692055,0.118571647
E02006918,Clapton Leaside,43.58165813,5.7,12.8,46.2,31.6,3,220.6404959,0.08783594
E02006921,Upper Clapton,39.12706612,7,10,52.9,27.4,2.4,249.5454545,0.100962789
E02000372,Old Oak & Wormwood,45.72207084,9.6,10.6,55.9,18.3,3.4,193.4090909,0.079822058
E02000373,White City,49.27906278,5.3,8.8,69.5,13.8,0.9,152.8604119,0.088622754
E02000374,Wormholt Road,40.82602882,17.4,19.8,36.1,23.1,3,222.4358974,0.083902841
E02000375,Shepherd's Bush North,46.96926579,11.3,12.8,44.5,28.5,3.9,153.8047138,0.066768827
E02000376,Shepherd's Bush West,46.65220535,10.2,14.3,33.4,38.7,4,57.85328185,0.077949813
E02000377,Askew,42.04921043,12,18.3,34.9,31.2,2.8,199.295302,0.082842229
E02000378,Shepherd's Bush South,46.52586471,13.7,20.8,25.8,38.2,2.7,157.560241,0.101319059
E02000379,Ravenscourt Park North,39.55942488,19,22.8,27.2,27.1,4.9,160.4974093,0.075929752
E02000380,Brackenbury,35.68139178,21,21.9,24.7,30.8,4.4,144.0062112,0.09984904
E02000381,Brook Green,41.90267765,18.8,18.6,24.9,36.1,3.2,158.4844384,0.04994877
E02000382,Ravenscourt Park South,39.69515161,19.1,17.7,24.8,34.4,3.4,167.5748031,0.084390565
E02000383,West Kensington,54.71798134,16.1,17.4,20.4,43.6,7.3,225.8769231,0.065862961
E02000384,Hammersmith Broadway,42.63661202,10.6,11.1,46.5,28.6,4,206.147541,0.05944334
E02000385,Barons Court,47.89029536,14.2,21,16.1,46.5,4.4,165.1855567,0.040864655
E02000386,North End,46.00540806,8.1,13.7,45.3,29.5,3.9,182.0809249,0.060846561
E02000387,Lillie Road & Greyhound Road,44.00510204,10.9,15.4,45.7,26.2,1.4,191.3024283,0.079275329
E02000388,Fulham Broadway,44.7451841,14,16,30.8,36.4,5.2,28.44812554,0.095208908
E02000389,Fulham Reach,38.08600848,23.9,26.7,15,31.3,4.2,162.4509804,0.092486421
E02000390,Fulham Aintree,38.75620347,18.1,19.9,26.4,33.8,4.5,136.1569416,0.114526378
E02000391,Parsons Green East & Eel Brook Common,38.94423599,22.7,21,24.6,29.6,6.2,95.40720961,0.102434929
E02000392,Parsons Green West,40.123199,16.7,19.6,25.3,34.9,5.2,167.6341463,0.09209952
E02000393,Munster,38.31868678,22.3,27.1,12.8,35.7,3.7,184.3693694,0.109210848
E02000394,Sands End & Chelsea Harbour,41.21212121,15,17.7,34.3,26.8,7.7,219.8639456,0.105816832
E02000395,Fulham Palace & Hurlingham Park,37.00218451,30.5,22,10.3,33.9,6.6,116.4653903,0.142766818
E02000396,South Park,36.30333183,19.9,21.1,28.3,26.2,2.6,162.9829545,0.115042705
E02000397,Bowes Park,51.3371721,13.4,21.1,25.1,37.4,2.2,143.3273056,0.103456977
E02000398,Northumberland Park,53.55889372,11.4,13.1,49.1,24.2,5.7,95.51053485,0.104021721
E02000400,Bounds Green,41.14501826,18,24.5,29.4,24.1,1.7,147.5707155,0.136430263
E02000401,Roundway,42.87199287,11.2,22,50.1,14.3,1.5,95.30690537,0.12907554
E02000402,Tottenham Bruce Castle Park,46.42377184,8.4,18,47.3,22.3,2,146.75,0.080919932
E02000403,Wood Green North,55.79941659,14.5,23.5,15.5,44.8,2.2,183.5388128,0.100758801
E02000404,Scotch Estate,52.54955571,15.8,21.5,31.7,27.1,2,146.5686275,0.100501672
E02000405,Alexandra Park,25.82467929,28.3,40.1,8.2,22.5,1.6,163.3834586,0.118039577
E02000406,Noel Park,49.19572954,12.7,19.9,39.4,25.7,1.6,135.4936306,0.129274885
E02000407,Bruce Grove North,56.2226477,10.6,17.5,35.6,31.5,5.5,181.4942529,0.093255225
E02000408,Tottenham North West,53.82291119,9.1,16.4,44.6,26.1,3,121.3834586,0.115832507
E02000409,Lordship Lane & Broadwater Farm,53.50084265,11.8,14.2,53.1,18.3,1.8,171.482821,0.092586734
E02000410,Muswell Hill North,27.74540565,22.2,32.3,6.6,38.1,3,166.5168539,0.103238866
E02000411,Tottenham Lea Valley,53.26086957,14.2,22.5,33.8,26.5,2.8,141.0942249,0.099849203
E02000412,Wood Green South,54.23777842,11.2,12.9,37.1,32.5,2.3,64.50980392,0.156614942
E02000413,Fortis Green & Coldfall,25.32,25.4,30.5,14.5,27,2.6,113.28,0.110169492
E02000414,Bruce Grove South,54.81801701,18.7,26,19.9,32.9,9.8,151.7907801,0.091811704
E02000415,Downhills Park,55.67567568,19.9,20.9,20.1,36.4,5.5,66.03694374,0.084933249
E02000416,Hornsey East,34.16555407,10.3,23.5,34.7,28.1,2.7,60.70464768,0.116201531
E02000417,Muswell Hill South,28.32534452,25.2,27.4,8.2,37.8,3.5,88.40696118,0.100090854
E02000418,Hornsey West,22.38155745,29.4,38.7,11.4,18.6,1.8,69.52681388,0.096037508
E02000419,Harringay Ladder North,51.33201776,15.2,21.4,15.2,46,7.5,96.55699177,0.087014726
E02000420,Tottenham Green West,55.53013994,11.5,19.7,34.7,31.8,3.8,120.7176287,0.105324373
E02000421,Tottenham Green East,54.37884723,7.7,14.5,44,28.2,3.2,35.90347924,0.134260706
E02000422,West Green & St Ann's,55.5399361,13.3,19.8,31.3,31.2,2.1,156.6812227,0.092809365
E02000423,Harringay East,53.72082783,20.3,22.8,14.7,40.7,3.4,145.7662835,0.09317913
E02000424,Hornsey Vale,29.95276466,15.8,30.8,24.3,27.1,4,163.0501931,0.091049017
E02000425,South Tottenham,43.99117971,18.4,18.2,21.6,38.2,7.5,88.70317003,0.122969461
E02000426,Highgate Wood,32.09032833,27.3,25.4,16,28.7,4.5,87.95212766,0.130329604
E02000427,Harringay Ladder South,47.60723665,15.3,23,13.4,44.8,10.3,77.39598278,0.069885995
E02000428,Harringay Warehouse District & Vartry,53.38934776,10.4,16.7,42.9,26.4,4.4,100.6606218,0.094968473
E02000429,Crouch End West,30.67717455,25.8,30.6,9.3,32.9,3.1,62.14109926,0.134521452
E02000430,Crouch End East,28.16502629,15.7,28.4,11.9,41.7,3.7,173.3007335,0.095513544
E02000431,Highgate East,32.05684368,22.1,25.9,5.9,44.9,3.7,103.4943182,0.111858358
E02000432,Stroud Green,33.62255965,12.4,26.5,25.3,34.2,8.6,129.3163752,0.105729039
E02006794,White Hart Lane,53.4629072,6.3,10.6,48.1,26.8,3.9,228.1314168,0.122052205
E02000433,Stanmore Park,34.47827218,40.9,26.2,11,18.2,4.5,62.03021719,0.171715634
E02000434,Canons Park,41.81415929,35.6,32.7,8,21.9,4.6,74.9088359,0.176371466
E02000435,Stanmore Uxbridge Road,35.60463237,32.4,30.1,19.3,15.8,3.8,139.7819315,0.083574772
E02000436,Hatch End North,32.35904531,47,40.6,3.2,8.1,2.5,142.9982669,0.10471458
E02000437,Harrow Weald,36.89865107,34.7,37.9,10.3,15.4,2.9,105.3316327,0.088035844
E02000438,Hatch End South,34.58912769,30.2,29.4,20.7,17,3.1,154.3278085,0.099522673
E02000439,Edgware West,55.6056544,29.8,32.6,11.7,23.9,2.5,134.3603604,0.079924903
E02000440,Belmont,41.65534539,35.9,45,4.3,13.4,2.1,101.5315315,0.100266193
E02000441,Pinner Green,34.50997915,33.7,30.7,19.6,13.9,2.3,145.8595194,0.071093651
E02000442,Queensbury East,59.14311969,32.2,36.7,4.8,24.3,1.8,27.40690893,0.191357014
E02000443,Wealdstone North,47.89862724,22.9,31.6,15.8,27.3,3.8,64.27374302,0.077937129
E02000444,Queensbury West,52.86504295,32.7,38.7,3.3,23.8,2,138.1407035,0.080029101
E02000445,Wealdstone South,50.33170732,22.7,30.3,14.8,28.3,2.8,70.33673469,0.141737995
E02000447,Headstone Lane,38.14111646,34.8,39,8.2,16.6,2.1,107.3141123,0.102941176
E02000448,Pinner Central,27.37539527,42.3,32.4,8.4,15.3,2.3,100.0491803,0.127642143
E02000449,Kenton East,57.4290279,29,28.9,17.9,21.8,1.2,114.2537313,0.095852384
E02000451,North Harrow,38.18320611,42.4,40.4,2.1,12.7,2,123.7518038,0.089668843
E02000452,Greenhill North,52.08079825,20.7,28.2,4.4,44.9,2.5,13.02627414,0.275577157
E02000453,Pinner Road,45.51181102,27.6,35.1,6.4,27.9,3.8,48.95058584,0.182745343
E02000454,Pinner South,29.73736233,41.5,45.4,3.6,8.7,1.8,43.0160487,0.204039624
E02000455,Greenhill South,52.04671174,21.7,23.6,13.9,37,3.1,11.73867006,0.275662998
E02000456,West Harrow,43.41974784,27.2,36,9.7,24.2,3.3,61.37437366,0.191042687
E02000457,Rayners Lane North,41.24168514,37.7,37.6,5.5,18,3,45.01998858,0.201826716
E02000459,South Harrow,50.78324226,21.1,27.4,19.7,28.2,3,85,0.133348076
E02000460,Newton Farm,47.51457502,19.3,28.4,30.4,19.5,1.8,64.46153846,0.163951437
E02000461,Harrow-on-the-Hill,40.34835181,25.1,30.6,5,32.9,5.1,30.34246575,0.203583521
E02000462,Alexandra Park,51.62846803,28.4,36,6.3,27.6,3.5,79.70175439,0.112920977
E02000463,Earlsmead,44.72653933,21.9,38.1,21,17.2,1.9,105.593047,0.121913431
E02006795,Rayners Lane South,50.70162482,32,40.9,2.6,23.3,2,268.3693517,0.104245974
E02006882,Kenton West,52.39875829,37,39.7,3.8,16.7,1.4,152.9608128,0.130942215
E02000464,Dagnam Park & Noak Hill,8.913346768,28.5,31.2,31.5,6.7,2.6,80.26508227,0.156246441
E02000465,Petersfield Avenue & Duck Wood,10.25220681,19.2,33,37.9,8.1,2.4,90.3117506,0.1212604
E02000466,Havering-atte-Bower & Chase Cross,9.110655243,30.5,35.8,24.6,7.1,1.4,34.28436911,0.16863499
E02000467,Harold Hill East,13.48128176,13.3,26.3,51.5,7.7,2.1,40.36046512,0.217084414
E02000468,Collier Row & Park Farm,9.252120278,36.4,40.8,11.5,9.6,1.9,91.14379085,0.141866858
E02000469,Harold Hill West,13.82896166,23,34.6,31.8,9,1.2,40.92557849,0.194376528
E02000470,Harold Park & Harold Wood,8.837327247,39.8,39.1,7.9,12.2,2.5,77.37777778,0.099942562
E02000471,Rise Park,6.343033391,51.2,42,1.8,4.5,1.7,79.84526112,0.13250969
E02000472,Romford North,8.432528646,38.5,43.9,8.2,8.4,2.2,44.75430759,0.194638528
E02000473,Ardleigh Green,8.249895703,38.2,45.6,6.1,8.5,1.7,82.96266234,0.114372371
E02000474,Romford North West,10.94330577,29.5,40.1,15.6,13.2,1.7,78.63930886,0.143916506
E02000475,Gidea Park,10.15658982,35.6,37.7,10.2,14.9,2.6,56.92241379,0.181735575
E02000476,Central Romford,20.1806513,19.1,25.1,24.6,26.3,3.2,77.225,0.121398511
E02000477,Romford East,7.02991453,43,44,2.9,9.4,2,79.19168591,0.107757364
E02000478,Emerson Park,15.93882753,51.1,38.8,5,4.3,2.2,28.66265965,0.11887287
E02000479,Romford South,15.19547578,24.8,41,10.1,22.6,2.3,68.13813814,0.140443661
E02000480,Rush Green,18.7136294,27.2,41.2,14.6,15.7,2.4,89.30032293,0.12765188
E02000481,Cranham East,5.761580906,47.8,36.7,7.7,6.6,2.2,82.98136646,0.144461078
E02000482,Upminster North & Cranham West,6.425891182,53.7,38.6,1.1,5.9,1.9,66.71992481,0.174742922
E02000483,Hornchurch,7.236669293,36.3,31.8,16,14.4,2.8,13.24056684,0.160670535
E02000484,Hylands,7.574094402,38.5,46,6.6,7.8,1.8,33.78436273,0.110535771
E02000485,Upminster Bridge,8.990733784,39.6,40.7,6.3,12.7,2.2,14.32871476,0.166388796
E02000486,Elm Park East,8.797176215,42.6,41.4,3.5,11.2,1.9,83.59087564,0.102464789
E02000487,Upminster South & Corbets Tey,4.386076756,53,41.7,1,3.4,1.9,20.49340498,0.18283671
E02000488,Hacton,6.324855336,48.8,42.9,2,5.7,1.2,42.93465578,0.150156271
E02000489,Elm Park West,12.29071537,35.2,38,16.3,9.2,1.4,13.85923407,0.194281447
