MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000490,South Hornchurch,9.210526316,40.2,38.7,12.6,7.5,1.8,35.48808968,0.26046328
E02000491,Hornchurch Marshes,13.01835486,29.3,34.4,25.5,9.4,3.3,60.78776042,0.192245903
E02000492,Rainham East & Wennington,7.254464286,50.3,37.5,3.4,8,1.8,36.02240896,0.174086314
E02000493,Rainham West,14.5410628,26.6,38.9,14.6,18.6,2,41.96647032,0.160224574
E02000494,Ducks Hill,33.07928867,39.8,30.4,13.9,14.3,6.2,35.28362469,0.212032356
E02000495,Northwood,30.13828777,31.9,29.3,12.8,24.3,5.7,65.69240587,0.126772877
E02000496,Harefield,13.25854845,28.4,35.8,24,10.2,4,54.66285714,0.195484006
E02000497,Northwood Hills,21.069293,32.9,37.4,18.7,9.7,3.4,23.32396628,0.276592083
E02000498,West Ruislip North,14.50166113,34.4,39.7,16.4,7.7,2.9,69.96363636,0.117255717
E02000499,Eastcote,19.5235029,45,38.1,5.5,10.6,2.3,38.98400474,0.117468277
E02000500,Ruislip,18.79699248,41.1,34,6.1,16.7,4,6.630736567,0.238916256
E02000501,Ruislip Manor,16.64847823,36.8,45.1,7.3,9.7,2.3,23.0502477,0.255756831
E02000502,West Ruislip South,20.33363983,32.3,39.9,4.4,22.1,4.3,49.86275733,0.221318654
E02000503,Ruislip Gardens,15.44624972,34.1,48.9,3.6,11.8,2.9,44.92706645,0.185666186
E02000504,Ickenham,13.74966134,45.1,40.2,4.3,9.3,3.3,41.25059666,0.180050914
E02000506,Uxbridge Common & Swakeleys,22.2649516,45.5,38.9,5,9.6,3.8,58.87755102,0.220637248
E02000507,Hillingdon North East,21.38990306,30.6,46.2,10.1,11.8,2.3,6.023600652,0.261760536
E02000508,Uxbridge Central & Brunel,29.86716028,25,26,18.2,28.8,8.1,40.04920722,0.230716724
E02000509,Uxbridge West,33.79822865,19.2,27,23.9,26.8,4.8,33.51673721,0.166915394
E02000510,Hillingdon South,26.01343526,29.7,37.8,12.9,17.7,2.7,38.91325536,0.197119599
E02000511,Charville,29.08975175,30.4,42.8,8.1,15.3,2.7,20.52489065,0.147960219
E02000512,Hillingdon Heath,28.23397075,20.4,30.9,28.4,17.8,2.8,4.620365758,0.226705683
E02000513,Yeading North,37.79510022,16.1,32.7,30.6,17.4,3.2,52.87820016,0.129841549
E02000514,Yeading West,48.16700611,27.9,39.1,7.1,23.1,3.4,12.34528211,0.243359375
E02000515,Yiewsley West,26.21898649,17.8,31,21.8,25.8,5.7,38.21847507,0.189046614
E02000516,Yeading Brookside,43.76587254,21.7,36.4,17.7,19.8,3.7,5.055176038,0.19789501
E02000517,Hayes End,39.18386274,17.5,33.9,27.6,18.3,2,34.14137676,0.179620596
E02000518,Yiewsley East,24.41320009,19.9,32.1,31.9,13.9,1.3,19.60165711,0.21736303
E02000519,Hayes Town North,42.56179256,15.5,27,36.6,17.3,1.8,47.25916718,0.218569174
E02000520,Hayes Town & Lake Farm,46.36921163,18.7,31.9,22,24.7,2.8,28.42305038,0.216219497
E02000521,West Drayton East,33.91848265,18.3,30.1,31,16.5,3.5,58.24634656,0.187933094
E02000522,West Drayton West,27.27377788,23.4,29.3,26.6,17.7,3.7,21.06577052,0.158842297
E02000523,Hayes South,50.07264425,24.4,35.5,12.1,23.6,2.7,65.64492754,0.138977812
E02000524,"Heathrow, Hardmonsworth & Sipson",36.42503377,25.6,27.5,12.4,32.5,6.9,24.3113577,0.209289838
E02000525,Harlington & Cranford Cross,48.19850442,19,29.8,19.2,30.2,2.6,14.26071103,0.219764766
E02006796,South Ruislip,24.03413131,30,40,10.1,18.7,2.6,191.9144603,0.084261912
E02000526,Chiswick North East,34.31606589,27.9,28.6,11.3,30.8,4.2,30.72172619,0.138047953
E02000528,Brentford East,38.8920294,12,18.6,44.5,19.6,3.6,44.21914816,0.084794599
E02000529,Heston North,54.28503788,21.8,31.2,21.4,23.1,1.1,60.50645482,0.072378139
E02000530,North Hyde & North Cranford,48.60318853,14.1,19.7,49,14.7,0.6,43.28015016,0.155372438
E02000531,Brentford Central,36.60636548,18.4,27.3,25.9,22.9,2.5,41.85510888,0.134167084
E02000532,Chiswick South East,32.62008734,26.4,29.1,22.6,19.8,4.1,62.24591329,0.124115095
E02000533,Chiswick South West,29.76445396,23,30,20.3,25.4,3.4,68.64038069,0.083490146
E02000534,Brentford West & Osterley Park,44.09497762,28.7,33.6,6.7,27,2.3,90.21684737,0.108810206
E02000535,Heston West,55.08556668,28.2,34.2,13.8,21.3,1.8,38.7218522,0.099844377
E02000536,Heston Central & Lampton West,54.66609127,25,32.7,16.8,23.5,1.3,54.6163142,0.094922005
E02000537,Osterley & Lampton East,61.29930394,33,28.4,2.5,35,2.3,65.68842922,0.098897855
E02000538,Cranford,58.35253456,24.5,27.5,17.5,28.3,2,34.80380499,0.122992825
E02000539,Syon Green,35.45386905,15.7,33.7,24.6,21.4,2.3,51.21078701,0.123911875
E02000540,Spring Grove,50.60566732,21.2,25.3,19.9,28.7,1.7,32.36413667,0.095295451
E02000541,Hounslow Meadows,59.2,20.2,19.6,33.9,23.4,1.7,54.95517522,0.077487765
E02000542,Hounslow West,60.64282673,17.8,22.5,24.5,30.9,2.4,62.17973231,0.115518655
E02000543,Hounslow High Street,61.57261163,16.6,22.8,13.7,41.8,2.9,72.29040097,0.092780906
E02000544,Hounslow East,41.22453958,32.5,41,5.7,18.7,1.4,4.057243162,0.112246124
E02000545,Isleworth & Ivybridge,34.15230412,15.6,28.1,36.8,16.7,1.8,25.91199607,0.0924011
E02000546,Hounslow Heath,55.47692308,20.7,31.2,17.6,26.5,1.5,21.57870263,0.141579571
E02000547,North Feltham & Hatton,34.6474359,22.1,36.6,21.3,17.4,2.4,91.81818182,0.14427157
E02000548,Bedfont,29.37493134,14.7,25.5,33.1,15.8,4.1,53.63753767,0.117335474
E02000549,Feltham East,33.62984479,26.8,37.3,19.1,13.8,1.8,76.04060914,0.125945705
E02000550,Feltham Central,34.87455542,10.5,27.9,35.8,18.9,1.6,27.10613294,0.104999323
E02000551,Hanworth North,32.21499884,13.6,24.4,47.9,11,1.8,41.5760657,0.124917694
E02000552,Lower Feltham,28.24824583,20.8,41.5,10.5,23.1,1.4,39.17832168,0.159750112
E02000553,Hanworth South,22.57380772,25.6,37.6,23.5,10.4,1.9,78.90977444,0.148284898
E02006792,Chiswick Park,42.38055522,25,22.4,11.4,39.4,4.9,141.1316113,0.119574691
E02000554,Highcroft & Holly Park,35.18841211,7.5,16.4,54.1,20.4,2.9,16.33449764,0.133081761
E02000555,Archway East,32.96130952,13.9,22.7,37.5,23.6,3,59.67096774,0.144772408
E02000556,Tollington,34.50239808,10.9,19.5,35.9,31.5,3.5,58.26384568,0.131368151
E02000557,Archway West,34.82274742,9.7,15.9,47.5,24.2,3.6,48.44279661,0.140389241
E02000558,Finsbury Park West,42.42390079,5.3,8.3,64,20.4,3.1,41.74448217,0.113573971
E02000559,Gillespie Road,31.72704488,15.4,21.7,24.8,35.5,4.5,66.81652491,0.105291871
E02000560,Holloway Nag's Head,41.54889768,12.2,20.3,25.6,39.6,3.7,89.68102073,0.1162191
E02000561,Tufnell Park East,30.66098632,19,26,24.9,28.3,4.5,92.27488152,0.118335901
E02000562,Highbury,31.63599698,13.6,21.1,41.2,22.5,2.5,113.3078394,0.114157948
E02000563,Hilldrop,34.84562809,7.9,14.9,50.8,23.8,3.8,120.5676856,0.084534589
E02000564,Lower Holloway,39.02555301,7.9,15.4,36.2,34.5,5.8,58.76623377,0.157028852
E02000565,Newington Green,35.94723342,7.4,17.5,50.3,22,2.8,66.5095057,0.130573977
E02000566,Highbury Fields,31.52866242,18.4,22.1,29,28.6,5.4,39.53252033,0.113213368
E02000567,Canonbury East & Mildmay Park,30.23749759,9.8,19.4,43,25.7,3.8,30.49004594,0.135208438
E02000568,Caledonian Road,39.29350649,7,11.1,53.6,23.7,3.8,28.0674412,0.116607774
E02000569,Islington North & Canonbury West,30.55278388,12.3,13.8,49.6,21.4,4.6,46.78615071,0.138777642
E02000570,Barnsbury East,29.43702844,19.5,22.1,26,31.1,7,115.1640212,0.087016448
E02000571,Islington East & Arlington,29.88419873,9.4,17.1,51.5,19.4,2.2,42.77725564,0.110622872
E02000572,Barnsbury West,40.6720336,5.8,8.9,61.2,20.9,2.7,29.54901961,0.091683256
E02000573,Angel,34.33248789,18.6,19,28.6,31.6,6.1,28.16561014,0.139682093
E02000574,King's Cross & Pentonville,40.15998118,10.8,15.4,37.3,33.6,8.2,61.70462388,0.142601499
E02000575,Clerkenwell,41.28185718,12,16.1,36.9,32.8,10.1,157.5353218,0.097359243
E02000576,Old Street & St Luke's,40.24286323,7.1,10.5,57.5,22.6,6.8,166.1241611,0.106756893
E02000577,Golborne & Swinbrook,46.61758578,4,6.4,74.1,12.5,0.9,174.7004608,0.084586301
E02000578,Ladbroke Grove,37.16798896,5.5,7.1,72.5,9.7,1.9,125.1412429,0.117832957
E02000579,North Kensington,39.07845868,17.1,15.7,42.4,21.4,3.9,215.7796258,0.092301763
E02000580,Portobello,43.46620451,11.2,9.6,50.4,26.8,5.6,183.9861352,0.081292389
E02000581,Notting Dale,42.4499863,6.6,5.9,72,12.1,1.8,183.3996024,0.077615176
E02000582,Notting Hill Gate,51.16855986,26.7,13.9,12.7,43,10.7,140.7654723,0.109221335
E02000583,Notting Hill West,42.80432699,29.8,15.7,18.5,33.4,9.1,137.6697531,0.10862011
E02000584,Notting Hill South,52.76351186,33.5,14.2,7,39.8,13.8,149.5689655,0.091757925
E02000585,Holland Park,55.2480916,27.9,16.9,13.3,37.5,9.9,179.6658416,0.056003306
E02000586,Queen's Gate,61.42360664,29.1,13.4,4,47.3,15,176.6666667,0.076575086
E02000587,Kensington Abingdon,59.15193407,33.2,14.7,3.7,45,11,136.4428571,0.097790807
E02000588,Hans Town,61.00012256,26.3,10.7,3.2,51.5,25.6,174.939759,0.08815427
E02000589,Kensington Gardens,66.31927996,21.3,13.3,10.5,51.1,8.5,144.8615725,0.078357924
E02000590,Brompton,54.36920884,21.8,7.7,30.2,36.9,20.6,161.6428571,0.11117985
E02000591,Earl's Court,60.05318363,16.3,11.9,28.8,39.5,6.7,166.0898502,0.100981767
E02000592,South Kensington,62.31326727,28.6,13.1,5.1,49.2,12.4,187.5100402,0.099485971
E02000593,West Brompton,58.43389297,20.5,18.9,15.3,42.1,8,200.8496732,0.100119319
E02000594,Chelsea Manor & Royal Hospital,44.78764479,32,13.3,13.6,35.8,10.9,146.8689655,0.095229151
E02000595,Chelsea Riverside East,48.779157,33.2,13.9,14.5,34.6,10.5,160.7894737,0.078968903
E02000596,Fulham Road,49.26754048,29.8,16.9,9.3,40.7,10.2,167.4623656,0.056376011
E02000597,Chelsea Riverside West,44.55820477,17.1,12.9,45.1,22.4,6.4,160.8333333,0.076157579
E02000598,Tudor Drive,24.01429118,35.1,42.9,7.6,12.7,2.7,76.18828932,0.143309222
E02000599,Kingston Vale & Coombe Hill,40.02751032,42.5,35.8,3.1,16.5,5,111.4396887,0.167946927
E02000600,Kingston Hill,33.89665653,23.7,29,13.9,32,3.5,131.8330606,0.144754811
E02000601,Kingston North,27.06311846,21.4,34.4,13.6,28.4,4.5,197.2727273,0.144137225
E02000602,Kingston East & Norbiton West,32.02342918,14.3,25.1,32.8,25.2,2.6,145.6844548,0.192865106
E02000603,Norbiton East,35.71246819,20.5,31.7,24.9,20,3.6,149.2827869,0.163761153
E02000604,New Malden East,36.29163755,30.1,34.6,6.4,27,2.2,120.3472222,0.161713791
E02000605,New Malden West,31.1077197,35.5,39.9,5.6,17.6,3.2,89.67105263,0.169234532
E02000606,Kingston Riverside,33.3234392,21.3,28.5,6.7,42.1,4.6,88.10572687,0.16925
E02000607,Berrylands North,22.81446771,28.7,38.2,8.1,23.8,2.2,147.5619048,0.126500581
E02000608,Surbiton North,30.17303017,17.1,30,9.8,41.4,4.2,145.2490421,0.166578739
E02000609,Malden Manor,34.39558962,35.2,36.1,14.3,13,2.1,101.6688396,0.176711977
E02000610,Surbiton South,27.94599554,19.3,26.1,17.4,35.6,4.4,239.5148248,0.108822867
E02000611,Berrylands South,21.72842883,44.5,44.8,2.1,7.4,1.5,150.0433839,0.203701026
E02000612,Motspur Park,26.53213752,40.9,42.5,4.6,10.9,2.7,190.7479224,0.13331397
E02000613,Southborough,22.30582834,25.5,40.2,12,21.1,3,123.3862434,0.13836478
E02000614,Tolworth,32.07996192,27.7,41.9,9,19.3,3,164.8594378,0.131790499
E02000615,Hook,18.28403159,34.8,44.5,7.9,11.2,2.1,100.129199,0.238967742
E02000616,Chessington North,12.93317858,32.4,52.5,5.4,8.5,1.5,119.9370079,0.18539916
E02000617,Chessington South & Malden Rushett,16.76232869,27.3,41.8,20.2,9.2,1.7,140.8211679,0.143967863
E02000619,Lambeth Walk & North Kennington,39.83113981,10.1,15.5,53.8,17.7,5.3,180.2278481,0.174322236
E02000620,Kennington West & Vauxhall North,38.15368196,9.5,16.4,43.9,24.1,4.8,62.2406015,0.153660304
E02000621,Vauxhall South,44.7214498,10.3,16.7,31.9,35.3,5.9,20.48616125,0.181860902
E02000622,Oval,39.41191006,10.3,18.9,36.8,32.5,3.7,87.92760181,0.121655002
E02000623,Stockwell North,44.48060075,8,14.1,54.3,21.6,1.8,125.7983193,0.091219476
E02000624,Stockwell East,39.95737212,5.9,16.5,52.2,24.1,3.3,110.2782931,0.090006729
E02000625,Stockwell West,47.70960411,5.6,14.8,52.3,24.8,1.5,67.95162509,0.116129032
E02000626,Loughborough Road,44.58498976,3.6,12.7,66.2,15.1,2.1,60.96542727,0.134496041
E02000627,Stockwell South,41.36453871,8.7,16.1,41.4,29.6,2.2,58.02503477,0.174736337
E02000628,Brixton North,49.72767444,3.9,12.4,59.2,22.2,2.2,75.76769025,0.110396476
E02000629,Clapham North,36.26702092,10.2,21.9,28.5,36.6,1.9,55.96527778,0.10385904
E02000630,Clapham Old Town,33.8150289,15.2,22.5,25.4,34.3,3.1,92.07064555,0.095118402
E02000631,Herne Hill East,35.26947464,14.9,24.8,27.9,30.8,3.3,52.06919946,0.189576547
E02000632,Acre Lane,35.19335855,10.5,23.3,21.9,42.6,1.9,73.4950584,0.136308068
E02000633,Brixton Central,38.72946077,7.7,16.1,45.4,26.4,2,41.45636465,0.207562349
E02000634,Clapham Common North,39.27841075,8.9,16.3,43.7,28.7,1.7,43.76258612,0.215911843
E02000635,Poets' Corner & Brockwell Park,35.87419461,10,19.6,38.7,28.6,2,69.80881131,0.145629912
E02000636,Clapham South,30.68464459,21.3,31.1,13.8,32.6,2.2,31.59160176,0.123807482
E02000637,Brixton Hill East,35.68550708,13.9,25.9,21.3,37,2.6,47.67726161,0.166923077
E02000638,Brixton Hill West,39.00788038,8.8,21.6,38.7,27.2,2.4,45.73932927,0.164472588
E02000639,Clapham Park East & Streatham Hill North,47.05012933,7.6,14.7,50.9,24.8,1.4,12.56783493,0.147081975
E02000640,Clapham Park West,29.77090869,16.4,31.3,25.7,25.3,1.6,166.3868613,0.115047159
E02000641,Tulse Hill,41.06390249,6,16.2,58.5,16.9,1.7,146.3085399,0.082846921
E02000642,West Dulwich,29.48691317,14.9,24.7,32.2,26.2,1.7,170.5349794,0.076576577
E02000643,Streatham Hill,37.75839407,13.1,27.5,25.8,31.7,2,113.9666239,0.076255913
E02000644,Leigham Vale & Royal Circus,37.62180974,15,30.7,20.3,32.1,3.2,176.4488017,0.107791085
E02000645,West Norwood East,34.94456763,13.2,29.4,20.4,35.4,4.1,155.4782609,0.073378076
E02000646,Streatham Central,40.57669115,16.9,27.6,12.8,41.3,3.1,152.8288288,0.066965338
E02000647,West Norwood West & Streatham East,34.29211364,19.6,33.9,19.3,24.3,3.3,149.676259,0.069214131
E02000648,West Norwood South,33.19214478,9.3,22.4,49.3,16.3,2.1,188.5361217,0.077543612
E02000649,Streatham Green,41.48108398,10.7,26.9,15,45.5,7.7,147.6829268,0.08845995
E02000650,Gipsy Hill,29.49892241,9.6,26.5,37.3,24.8,2.6,140.7632399,0.070266681
E02000651,Streatham Common,40.04190432,17.7,29,16.4,34.3,5,118.3505155,0.075783972
E02000652,Streatham Vale,48.30911313,26.4,31.8,15.3,24.1,2,88.75117371,0.091409226
E02006801,"Lambeth North, Waterloo & South Bank",43.36097018,10.3,11.4,37.7,36.9,7.9,201.3627993,0.108926285
E02000653,Silwood & Pepys,45.50561798,4.9,12.9,53,23.3,2.4,174.5265152,0.059142702
E02000654,Deptford North,43.95086239,4.2,11.3,61.8,19.3,2.1,144.0095087,0.076923077
E02000655,New Cross Gate,45.13888889,6.7,22.6,34,33.9,2.6,129.9424184,0.091137371
E02000657,New Cross South,38.36748182,10,18.3,34.6,34.7,2,74.74658085,0.069960177
E02000658,Telegraph Hill,36.93769545,11.6,20.3,34.3,31.4,2.7,88.14935065,0.080908533
E02000659,Blackheath West,30.92113811,15.4,24.6,36.4,22.4,2.4,155.5993151,0.073951799
E02000660,Brockley East & St Johns,35.05818272,10.2,24.6,25.5,36.8,2.2,158.1021898,0.07156048
E02000661,Blackheath Village,27.34153264,21.1,25.4,20.9,31.7,2.1,138.6472603,0.071507966
E02000662,Brockley West,36.87654321,8.6,22.8,39,26.8,2,120.7334963,0.083839611
E02000663,Loampit & Hilly Fields,36.91965527,17.5,31.7,24.5,25.2,2.3,142.3934426,0.084734055
E02000664,Lewisham Central & Park,43.48307816,9.5,17.6,34.7,33.1,3.7,89.88929889,0.105090312
E02000665,Manor House,30.87417888,17.2,30.5,24.8,25.6,2.9,137.4322397,0.081897447
E02000666,Ladywell,33.97076902,16.9,32.4,22.8,25.2,1.4,99.18232044,0.08233066
E02000667,Crofton Park,31.359045,22.9,38.9,12.6,23.4,2.2,86.86672551,0.082097135
E02000668,Lee,26.54348806,26.9,34.2,16.8,20.7,2,109.3670886,0.095968364
E02000669,Hither Green,38.10853951,12.9,33.1,17.4,34.5,1.5,95.99793175,0.126683184
E02000670,Catford East & Mountsfield Park,39.51674568,15.3,27.6,28.1,27.7,1.7,118.5795455,0.095112602
E02000671,Honor Oak,29.08485065,16.2,34,19.8,27.5,2.4,131.1389961,0.069851318
E02000672,Catford Bridge,36.81508893,14.3,26.1,26,32.2,2,101.0103627,0.087201847
E02000673,Forest Hill West,29.31185213,20.2,32.8,18.8,26.9,2,81.75,0.108016601
E02000674,Corbett Estate,31.41609482,22.4,44.8,12.5,18.6,1.1,114.4104803,0.116793893
E02000675,Grove Park & Lee South,26.25548513,24.4,37.6,18.7,17.6,2.3,99.22942207,0.080656548
E02000676,Forest Hill East,29.69013354,16.3,36.3,20.9,25,2.7,174.0828402,0.052855201
E02000677,Culverley Green,33.07403806,23.2,40.9,12.6,21.4,2,93.12896406,0.07185017
E02000678,Further Green,27.17266305,15.7,34.9,31.3,16.7,2.4,95.24539877,0.06387547
E02000679,Perry Vale,31.24604681,16.2,27.7,31.8,21.1,1.8,114.2906178,0.068675543
E02000680,Upper Sydenham,33.29925515,15.4,25.6,35.1,21.6,2.7,113.5917313,0.087352138
E02000681,Bellingham & Perry Hill,29.24388436,15.8,31.4,36,15.1,1.1,80.86744639,0.092684103
E02000682,Forster Park & Southend,31.23009066,20.8,27.4,37,13.1,1.9,106.3669951,0.070279032
E02000683,Chinbrook,27.77777778,16.4,26.6,36.6,18.2,2.2,53.5042735,0.132733082
E02000685,Sydenham Wells,29.73043365,14.4,26.5,38.1,19.3,2.6,113.1428571,0.069100092
E02000686,Beckenham Hill,30.04041311,10.2,21.8,53.3,12.5,1.3,113.3689024,0.098426785
E02000687,Lower Sydenham,30.64597527,16.1,28.7,31.5,22.2,2.6,103.8260255,0.068660173
E02006783,Downham East,23.55715871,13.2,29.7,42,13.6,1.4,113.7880987,0.063647959
E02006784,Downham West,26.09050143,16.2,29.2,39.8,12.6,1.5,137.7777778,0.115645161
E02006798,New Cross & Deptford South,48.09220986,6.3,15.1,47.3,29.1,1.7,202.9107143,0.122590865
E02000689,Wimbledon Park & Durnsford Road,33.09518043,26.9,34.9,7,27.4,3.2,109.425,0.100297007
E02000690,Wimbledon Common,33.98161245,45.5,25.1,7.9,18.7,5.7,77.62605042,0.106495264
E02000691,Wimbledon Broadway North,37.06026725,22.4,30,8.8,36.6,3.3,95.37826685,0.097923277
E02000692,Wimbledon Hill,38.8018794,29.1,21.7,8.7,38.4,6.4,75.10406343,0.11942465
E02000693,Colliers Wood,45.89556307,15.7,33.7,8.4,40.2,2.2,129.8286604,0.079424115
E02000694,South Wimbledon,35.32646048,19.6,34.1,14.1,31,2.7,106.8488746,0.085164008
E02000695,Graveney,53.3848196,31.8,35,3.3,28.4,4.6,88.18913481,0.091946156
E02000696,Lavender Park,48.33994054,13.5,31.3,18.6,35,3.1,88.67126833,0.077551815
E02000697,Wimbledon Broadway South,37.71449434,22.5,30.3,4.2,41.8,2.7,82.94339623,0.096565059
E02000698,Cottenham Park,31.62743091,37.6,35.3,5.1,20.5,3.6,105.0977995,0.110968943
E02000699,Wimbledon Chase,34.12667447,26.8,37.6,5,29.5,2.6,61.98185625,0.131727088
E02000700,Merton Church Road & Phipps Bridge,43.79975875,13,26,33.7,25.3,1.6,110.7640751,0.094154665
E02000701,Mitcham East,46.99382129,20.8,33,16.1,26.8,2.7,72.0952381,0.123778071
E02000702,Lonesome,37.92877717,20.2,35.3,25.6,16.5,3.6,66.59244918,0.096961768
E02000703,Merton Park,32.38338658,40.7,36.1,4.4,17.6,3.4,89.45686901,0.105238095
E02000704,Raynes Park,38.90467579,22.8,31.2,14.1,30.7,2.5,99.3359375,0.092541618
E02000705,Rowan Road,41.62973904,31.2,46,4.6,16.4,4.6,64.60118168,0.121870356
E02000706,Mitcham West,43.32364904,12.6,25.2,41,18.4,2.6,76.29411765,0.113338473
E02000707,Pollards Hill,36.06732567,18.9,35.2,31.3,13.2,2.5,68.23774765,0.12056846
E02000708,West Barnes,33.22471639,34.6,43.9,3.6,16,2.8,87.90072389,0.117294118
E02000709,Cannon Hill,27.29515647,42.5,42.3,4.4,9.9,1.8,43.29867129,0.088592395
E02000710,Mitcham South,35.57449874,25.5,31.8,21.5,18.9,1.9,108.0952381,0.121323967
E02000711,Morden Central,40.62270164,20.7,31.4,22.2,24.4,2.3,81.70575693,0.097338205
E02000712,St Helier North,31.71431852,21.2,32.3,32.8,11.7,1.5,56.02217602,0.142751113
E02000713,Lower Morden,20.14686248,38.6,49,2.5,8.7,2.2,101.2667479,0.067717104
E02000714,Forest Gate North,51.14963728,14.6,22,28.1,31.7,1.6,43.17598769,0.095187166
E02000715,Little Ilford West,55.14157973,13.7,20.4,27.4,36.5,1,10.31099593,0.252423698
E02000716,Manor Park North,54.0250204,14.3,21.9,23.9,36.8,2.6,80.24784483,0.107560091
E02000717,Manor Park South,57.79533391,13.9,21.2,23.7,38.4,1.4,69.21328671,0.173402374
E02000718,Little Ilford East,50.59906487,10.9,20,43.9,22.8,1.3,91.03151862,0.089077746
E02000719,Forest Gate West,53.96786758,11.3,16.4,31.4,37.6,2.9,117.7002584,0.0935236
E02000720,Forest Gate East,53.06695176,21.2,26.4,15.3,35,1.2,105.1053284,0.130511672
E02000721,Forest Gate South,58.14795654,17.6,19,19.4,41.6,1.9,108.2726046,0.082637417
E02000722,Stratford East,54.72890834,11.2,15.9,28,40.4,2.5,77.91882556,0.081790979
E02000723,East Ham North,61.97169811,25.7,23.3,11.2,38,1.8,45.67521368,0.173527944
E02000724,Plashet East,59.19277748,21.8,26.7,11.2,38.3,1.6,88.97959184,0.116851762
E02000725,Stratford Central,53.92068499,7,12.9,32.9,40.2,1.8,91.06290672,0.095402573
E02000726,Olympic Park & Mill Meads,55.9154296,6.6,13,30.8,44.7,4.3,88.09822362,0.114814376
E02000727,Plashet West,63.66044551,20.2,20.1,14.9,42.9,1.8,56.07188703,0.101762821
E02000728,Wallend North,64.42202504,20.3,27.3,9.4,41,1.6,53.8779661,0.181703788
E02000729,West Ham Park,54.39265537,19.1,20.8,21.4,36,1.8,49.82645123,0.1265914
E02000730,Upton Park,62.1774911,23,20.9,14.4,40,3,68.63929147,0.135718475
E02000731,East Ham Central,64.77712697,17.8,22.6,13.7,44.4,1.1,103.6836283,0.09303318
E02000732,East Ham West,55.41897965,12.1,15.9,38.9,30.4,0.9,64.27586207,0.111453863
E02000733,West Ham & Stratford Park,49.68218167,8.1,18.1,45.3,26.2,2,50.71081409,0.150952438
E02000734,Plaistow North,50.91599058,9.4,12.6,49.7,23.2,1.5,44.531159,0.186633534
E02000735,Plaistow North East,59.20601424,15.8,21,28.2,32.7,1.8,26.58090515,0.161282799
E02000736,Wallend South,51.06755338,12,26.7,30.3,29.1,1.9,66.54395192,0.104888789
